"Price","Year","Model","HorsePower","ConsumerRating","SellerRating","Color","Drivetrain","FuelRate","FuelType","Transmission","Engine Capacity(L)","Cylinder","Mileage","bodyType","numberOfDoors"
"5237370","2020","X5 xDrive40i","340","4.7","4.9","Ametrin Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","35358","SUV","4"
"287910","2019","X1 xDrive28i","231","4.7","4.7","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","34843","SUV","4"
"2327040","2016","340 i xDrive","374","4.6","3.4","White","All-wheel Drive","33","Gasoline","8-Speed Automatic","3","6","50986","Sedan","4"
"1799910","2015","328 i","230","4.7","4.7","Mineral Gray Metallic","Rear-wheel Drive","35","Gasoline","8-Speed Automatic","2","4","35876","Sedan","4"
"3329820","2019","330 i","258","4.9","4.4","Black Sapphire Metallic","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","34556","Sedan","4"
"1541160","2013","X3 xDrive28i","245","4.2","4.7","Jet Black","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","81300","SUV","4"
"5128470","2019","X6 xDrive35i","306","4","4.5","Carbon Black Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","27579","SUV","4"
"469620","2018","M2 Base","460","4.9","4.6","Black Sapphire Metallic","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","33546","Coupe","2"
"3923550","2019","540 i xDrive","340","4.9","4.8","Black Sapphire Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","36464","Sedan","4"
"3197700","2020","X3 xDrive30i","249","4.9","4.8","Black Sapphire Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","52765","SUV","4"
"3908250","2021","X3 xDrive30i","249","4.7","4.6","Dark Graphite Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","16466","SUV","4"
"4129830","2020","X3 xDrive30i","249","4.9","4.2","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","21228","SUV","4"
"3413700","2018","X5 xDrive35i","306","4.8","4.4","Azurite Black Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","45763","SUV","4"
"2609550","2018","X1 xDrive28i","231","4.8","4.8","Black","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","61612","SUV","4"
